project_id,project_name,university,distance_to_campus_m,total_units,year_completed,facility_count
0,Kave Condo,ม.กรุงเทพ,100,589,2018,20
1,Kave Town Space,ม.กรุงเทพ,200,1073,2020,30
2,Kave Town Shift,ม.กรุงเทพ,200,1073,2020,30
3,Kave Town Island,ม.กรุงเทพ,300,1770,2023,45
4,Kave Town Colony,ม.กรุงเทพ,300,1083,2023,40
5,Kave TU,ม.ธรรมศาสตร์,50,1016,2021,25
6,Kave Ava,ม.ธรรมศาสตร์,50,1278,2022,30
7,Kave Wonderland,ม.ธรรมศาสตร์,250,1423,2025,45
8,Kave Carnival,ม.รังสิต,400,850,2026,40
9,Kave Embryo,ม.ราชมงคลธัญบุรี,250,514,2024,30
10,Kave Seed Kaset,ม.เกษตรศาสตร์,4600,600,2024,25
11,Kave Uni.Verse Bangsaen,ม.บูรพา,200,245,2025,26
12,Kave Coco Bangsaen,ม.บูรพา,500,974,2025,50
13,Kave Pop Salaya,ม.มหิดล,1000,237,2024,26
14,Kave Mutant Salaya,ม.มหิดล,750,588,2022,30
15,Kave Genesis Nakhon Pathom,ม.ศิลปากร,400,579,2024,30
16,KAVE Luminous Bangmod,มจธ.บางมด,600,516,2026,23
17,Kave Ally Chaengwattana,ม.ราชภัฏพระนคร,200,447,2027,25
18,Kave Playground,ร.ร.บดินทรเดชา,150,512,2026,60
